חולין,כתובות,
,אינו, ** Gap ** 
,גט, ** Gap ** 
,והיא, ** Gap ** 
,גופא, ** Gap ** 
,"קמ""ל", ** Gap ** 
,דאין, ** Gap ** 
,גט, ** Gap ** 
,לאחר, ** Gap ** 
,מיתה, ** Gap ** 
,אין, ** Gap ** 
,גט, ** Gap ** 
,לאחר, ** Gap ** 
,מיתה, ** Gap ** 
,הא, ** Gap ** 
,תנא, ** Gap ** 
,ליה, ** Gap ** 
,רישא, ** Gap ** 
,הרי, ** Gap ** 
,זה, ** Gap ** 
,גיטיך, ** Gap ** 
,אם, ** Gap ** 
,מתי, ** Gap ** 
,הרי, ** Gap ** 
,זה, ** Gap ** 
,גיטיך, ** Gap ** 
,מחולי, ** Gap ** 
,זה, ** Gap ** 
,הרי, ** Gap ** 
,זה, ** Gap ** 
,גיטיך, ** Gap ** 
,לאחר, ** Gap ** 
,מיתה, ** Gap ** 
,לא, ** Gap ** 
,אמר, ** Gap ** 
,כלום, ** Gap ** 
,דלמא, ** Gap ** 
,לאפוקי, ** Gap ** 
,מדרבותינו, ** Gap ** 
,דתניא, ** Gap ** 
,ורבותינו, ** Gap ** 
,התירוה, ** Gap ** 
,להנשא, ** Gap ** 
,ואמרינן, ** Gap ** 
,מאן, ** Gap ** 
,רבותינו, ** Gap ** 
,אמר, ** Gap ** 
,רב, ** Gap ** 
,יהודה, ** Gap ** 
,אמר, ** Gap ** 
,שמואל, ** Gap ** 
,בי, ** Gap ** 
,דינא, ** Gap ** 
,דשרו, ** Gap ** 
,משחא, ** Gap ** 
,סברי, ** Gap ** 
,לה, ** Gap ** 
,כרבי, ** Gap ** 
,יוסי, ** Gap ** 
,דאמר, ** Gap ** 
,זמנו, ** Gap ** 
,של, ** Gap ** 
,שטר, ** Gap ** 
,מוכיח, ** Gap ** 
,עליו, ** Gap ** 
,ואלא, ** Gap ** 
,מסיפא, ** Gap ** 
,מעכשיו, ** Gap ** 
,אם, ** Gap ** 
,לא, ** Gap ** 
,באתי, ** Gap ** 
,מכאן, ** Gap ** 
,ועד, ** Gap ** 
,"י""ב", ** Gap ** 
,חדש, ** Gap ** 
,ומת, ** Gap ** 
,בתוך, ** Gap ** 
,שנים, ** Gap ** 
,עשר, ** Gap ** 
,חדש, ** Gap ** 
,הרי, ** Gap ** 
,זה, ** Gap ** 
,גט, ** Gap ** 
,מת, ** Gap ** 
,והוא, ** Gap ** 
,הדין, ** Gap ** 
,לחלה, ** Gap ** 
,דלמא, ** Gap ** 
,מת, ** Gap ** 
,דוקא, ** Gap ** 
,דלא, ** Gap ** 
,ניחא, ** Gap ** 
,ליה, ** Gap ** 
,דתפול, ** Gap ** 
,קמי, ** Gap ** 
,יבם, ** Gap ** 
,אלא, ** Gap ** 
,מהא, ** Gap ** 
,דההוא, ** Gap ** 
,דאמר, ** Gap ** 
,להו, ** Gap ** 
,אי, ** Gap ** 
,לא, ** Gap ** 
,אתינא, ** Gap ** 
,מיכן, ** Gap ** 
,ועד, ** Gap ** 
,תלתין, ** Gap ** 
,יומין, ** Gap ** 
,ליהוי, ** Gap ** 
,גיטא, ** Gap ** 
,אתא, ** Gap ** 
,בסוף, ** Gap ** 
,תלתין, ** Gap ** 
,יומין, ** Gap ** 
,ופסקיה, ** Gap ** 
,מברא, ** Gap ** 
,אמר, ** Gap ** 
,להו, ** Gap ** 
,חזו, ** Gap ** 
,דאתאי, ** Gap ** 
חוץ,חזו, ** Major ** 
,דאתאי, ** Gap ** 
,אמר, ** Gap ** 
,שמואל, ** Gap ** 
,לאו, ** Gap ** 
,שמיה, ** Gap ** 
,מתיא, ** Gap ** 
,ודלמא, ** Gap ** 
,אונסא, ** Gap ** 
,דשכיח, ** Gap ** 
,שאני, ** Gap ** 
,דכיון, ** Gap ** 
,דאיבעי, ** Gap ** 
,ליה, ** Gap ** 
,לאתנויי, ** Gap ** 
,ולא, ** Gap ** 
,אתני, ** Gap ** 
,איהו, ** Gap ** 
,דאפסיד, ** Gap ** 
,אנפשיה, ** Gap ** 
,אלא, ** Gap ** 
,רבא, ** Gap ** 
,סברא, ** Gap ** 
,דנפשיה, ** Gap ** 
,קאמר, ** Gap ** 
,משום, ** Gap ** 
,צנועות, ** Gap ** 
,ומשום, ** Gap ** 
,פרוצות, ** Gap ** 
,משום, ** Gap ** 
,צנועות, ** Gap ** 
,דאי, ** Gap ** 
,אמרת, ** Gap ** 
,לא, ** Gap ** 
,להוי, ** Gap ** 
,גט, ** Gap ** 
,Daf, ** Gap ** 
,3a, ** Gap ** 
,זימנין, ** Gap ** 
,דלא, ** Gap ** 
,אניס, ** Gap ** 
,וסברה, ** Gap ** 
,דאניס, ** Gap ** 
,ומיעגנא, ** Gap ** 
,ויתבה, ** Gap ** 
,ומשום, ** Gap ** 
,פרוצות, ** Gap ** 
,דאי, ** Gap ** 
,אמרת, ** Gap ** 
,לא, ** Gap ** 
,ליהוי, ** Gap ** 
,גיטא, ** Gap ** 
,זימנין, ** Gap ** 
,דאניס, ** Gap ** 
,ואמרה, ** Gap ** 
,לא, ** Gap ** 
,אניס, ** Gap ** 
,ואזלא, ** Gap ** 
,ומינסבא, ** Gap ** 
,ונמצא, ** Gap ** 
,גט, ** Gap ** 
,בטל, ** Gap ** 
,ובניה, ** Gap ** 
,ממזרים, ** Gap ** 
,ומי, ** Gap ** 
,איכא, ** Gap ** 
,מידי, ** Gap ** 
,דמדאורייתא, ** Gap ** 
,לא, ** Gap ** 
,להוי, ** Gap ** 
,גט, ** Gap ** 
,ומשום, ** Gap ** 
,צנועות, ** Gap ** 
,ומשום, ** Gap ** 
,פרוצות, ** Gap ** 
,שרינן, ** Gap ** 
,אשת, ** Gap ** 
,איש, ** Gap ** 
,לעלמא, ** Gap ** 
,אין, ** Gap ** 
,כל, ** Gap ** 
,דמקדש, ** Gap ** 
,אדעתא, ** Gap ** 
,דרבנן, ** Gap ** 
מחרש,מקדש, ** Major ** 
,ואפקעינהו, ** Gap ** 
,רבנן, ** Gap ** 
,לקידושי, ** Gap ** 
,מיניה, ** Gap ** 
,אמר, ** Gap ** 
,ליה, ** Gap ** 
,רבינא, ** Gap ** 
,לרב, ** Gap ** 
,אשי, ** Gap ** 
,תינח, ** Gap ** 
,קדיש, ** Gap ** 
,בכספא, ** Gap ** 
,קדיש, ** Gap ** 
,בביאה, ** Gap ** 
,מאי, ** Gap ** 
,איכא, ** Gap ** 
,למימר, ** Gap ** 
שוטה,שויוה, ** Major ** 
,רבנן, ** Gap ** 
,לבעילתו, ** Gap ** 
,בעילת, ** Gap ** 
,זנות, ** Gap ** 
,איכא, ** Gap ** 
,דאמרי, ** Gap ** 
,אמר, ** Gap ** 
,רבא, ** Gap ** 
וקטן,וכן, ** Major ** 
,לענין, ** Gap ** 
,גיטין, ** Gap ** 
,אלמא, ** Gap ** 
,קסבר, ** Gap ** 
,רבא, ** Gap ** 
,יש, ** Gap ** 
,אונס, ** Gap ** 
,בגיטין, ** Gap ** 
,מיתיבי, ** Gap ** 
,הרי, ** Gap ** 
,זה, ** Gap ** 
,גיטיך, ** Gap ** 
,אם, ** Gap ** 
,לא, ** Gap ** 
,באתי, ** Gap ** 
,מכאן, ** Gap ** 
,ועד, ** Gap ** 
,שנים, ** Gap ** 
,עשר, ** Gap ** 
,חדש, ** Gap ** 
,ומת, ** Gap ** 
,בתוך, ** Gap ** 
,שנים, ** Gap ** 
,עשר, ** Gap ** 
,חדש, ** Gap ** 
,אינו, ** Gap ** 
,גט, ** Gap ** 
,מת, ** Gap ** 
,הוא, ** Gap ** 
,דאינו, ** Gap ** 
,גט, ** Gap ** 
,הא, ** Gap ** 
,חלה, ** Gap ** 
,הרי, ** Gap ** 
,זה, ** Gap ** 
,גט, ** Gap ** 
,לעולם, ** Gap ** 
,אימא, ** Gap ** 
,לך, ** Gap ** 
,חלה, ** Gap ** 
,נמי, ** Gap ** 
,אינו, ** Gap ** 
,גט, ** Gap ** 
,והיא, ** Gap ** 
,גופה, ** Gap ** 
,"קמ""ל", ** Gap ** 
,דאין, ** Gap ** 
,גט, ** Gap ** 
,לאחר, ** Gap ** 
,מיתה, ** Gap ** 
,אין, ** Gap ** 
,גט, ** Gap ** 
,לאחר, ** Gap ** 
,מיתה, ** Gap ** 
,הא, ** Gap ** 
,תנא, ** Gap ** 
,ליה, ** Gap ** 
,רישא, ** Gap ** 
,דלמא, ** Gap ** 
,לאפוקי, ** Gap ** 
,מדרבותינו, ** Gap ** 
,"ת""ש", ** Gap ** 
,מעכשיו, ** Gap ** 
,אם, ** Gap ** 
,לא, ** Gap ** 
,באתי, ** Gap ** 
,מכאן, ** Gap ** 
,ועד, ** Gap ** 
,שנים, ** Gap ** 
,עשר, ** Gap ** 
,חדש, ** Gap ** 
,ומת, ** Gap ** 
,בתוך, ** Gap ** 
,שנים, ** Gap ** 
,עשר, ** Gap ** 
,חדש, ** Gap ** 
,הרי, ** Gap ** 
,זה, ** Gap ** 
,גט, ** Gap ** 
שמא,מאי, ** Major ** 
,לאו, ** Gap ** 
,הוא, ** Gap ** 
,הדין, ** Gap ** 
,לחלה, ** Gap ** 
,לא, ** Gap ** 
,מת, ** Gap ** 
,דוקא, ** Gap ** 
,דלא, ** Gap ** 
,ניחא, ** Gap ** 
,ליה, ** Gap ** 
,דתפול, ** Gap ** 
,קמי, ** Gap ** 
,יבם, ** Gap ** 
,"ת""ש", ** Gap ** 
,מההוא, ** Gap ** 
,דאמר, ** Gap ** 
,להו, ** Gap ** 
,אי, ** Gap ** 
,לא, ** Gap ** 
,אתינא, ** Gap ** 
,מכאן, ** Gap ** 
,ועד, ** Gap ** 
,שלשים, ** Gap ** 
,יום, ** Gap ** 
,ליהוי, ** Gap ** 
,גיטא, ** Gap ** 
,אתא, ** Gap ** 
,בסוף, ** Gap ** 
,תלתין, ** Gap ** 
,יומין, ** Gap ** 
,ופסקיה, ** Gap ** 
,מברא, ** Gap ** 
,ואמר, ** Gap ** 
,להו, ** Gap ** 
,חזו, ** Gap ** 
,דאתאי, ** Gap ** 
,חזו, ** Gap ** 
,דאתאי, ** Gap ** 
,ואמר, ** Gap ** 
,שמואל, ** Gap ** 
,לא, ** Gap ** 
,שמיה, ** Gap ** 
,מתיא, ** Gap ** 
,אונסא, ** Gap ** 
,דשכיח, ** Gap ** 
,שאני, ** Gap ** 
,דכיון, ** Gap ** 
,דאיבעי, ** Gap ** 
,ליה, ** Gap ** 
,לאתנויי, ** Gap ** 
,ולא, ** Gap ** 
,אתני, ** Gap ** 
,איהו, ** Gap ** 
,הוא, ** Gap ** 
,דאפסיד, ** Gap ** 
,אנפשיה, ** Gap ** 
,אמר, ** Gap ** 
,רב, ** Gap ** 
,שמואל, ** Gap ** 
,בר, ** Gap ** 
,יצחק, ** Gap ** 
,לא, ** Gap ** 
,שנו, ** Gap ** 
,אלא, ** Gap ** 
,מתקנת, ** Gap ** 
,עזרא, ** Gap ** 
,ואילך, ** Gap ** 
,שאין, ** Gap ** 
,בתי, ** Gap ** 
,דינין, ** Gap ** 
,קבועין, ** Gap ** 
,אלא, ** Gap ** 
,בשני, ** Gap ** 
,ובחמישי, ** Gap ** 
,אבל, ** Gap ** 
,קודם, ** Gap ** 
,תקנת, ** Gap ** 
,עזרא, ** Gap ** 
,שבתי, ** Gap ** 
,דינין, ** Gap ** 
,קבועין, ** Gap ** 
,בכל, ** Gap ** 
,יום, ** Gap ** 
,אשה, ** Gap ** 
,נשאת, ** Gap ** 
,בכל, ** Gap ** 
,יום, ** Gap ** 
,קודם, ** Gap ** 
,תקנת, ** Gap ** 
,עזרא, ** Gap ** 
,מאי, ** Gap ** 
,דהוה, ** Gap ** 
,הוה, ** Gap ** 
,הכי, ** Gap ** 
,קאמר, ** Gap ** 
,אי, ** Gap ** 
,איכא, ** Gap ** 
,בתי, ** Gap ** 
,דינין, ** Gap ** 
,דקבועין, ** Gap ** 
,האידנא, ** Gap ** 
,כקודם, ** Gap ** 
,תקנת, ** Gap ** 
,עזרא, ** Gap ** 
,אשה, ** Gap ** 
,נשאת, ** Gap ** 
,בכל, ** Gap ** 
,יום, ** Gap ** 
,הא, ** Gap ** 
,בעינן, ** Gap ** 
,שקדו, ** Gap ** 
,דטריח, ** Gap ** 
,ליה, ** Gap ** 
,Daf, ** Gap ** 
,3b, ** Gap ** 
,מאי, ** Gap ** 
,שקדו, ** Gap ** 
,דתניא, ** Gap ** 
,מפני, ** Gap ** 
,מה, ** Gap ** 
,אמרו, ** Gap ** 
,בתולה, ** Gap ** 
,נשאת, ** Gap ** 
,ליום, ** Gap ** 
,הרביעי, ** Gap ** 
,שאם, ** Gap ** 
,היה, ** Gap ** 
,לו, ** Gap ** 
,טענת, ** Gap ** 
,בתולים, ** Gap ** 
,היה, ** Gap ** 
,משכים, ** Gap ** 
,"לב""ד", ** Gap ** 
,ותנשא, ** Gap ** 
,באחד, ** Gap ** 
,בשבת, ** Gap ** 
,ואם, ** Gap ** 
,היה, ** Gap ** 
,לו, ** Gap ** 
,טענת, ** Gap ** 
,בתולים, ** Gap ** 
,היה, ** Gap ** 
,משכים, ** Gap ** 
,"לב""ד", ** Gap ** 
,שקדו, ** Gap ** 
,חכמים, ** Gap ** 
,על, ** Gap ** 
,תקנת, ** Gap ** 
,בנות, ** Gap ** 
,ישראל, ** Gap ** 
,שיהא, ** Gap ** 
,אדם, ** Gap ** 
,טורח, ** Gap ** 
,בסעודה, ** Gap ** 
,שלשה, ** Gap ** 
,ימים, ** Gap ** 
,אחד, ** Gap ** 
,בשבת, ** Gap ** 
,ושני, ** Gap ** 
,בשבת, ** Gap ** 
,ושלישי, ** Gap ** 
,בשבת, ** Gap ** 
,וברביעי, ** Gap ** 
,כונסה, ** Gap ** 
,ומסכנה, ** Gap ** 
,ואילך, ** Gap ** 
,נהגו, ** Gap ** 
,העם, ** Gap ** 
,לכנוס, ** Gap ** 
,בשלישי, ** Gap ** 
,ולא, ** Gap ** 
,מיחו, ** Gap ** 
,בידם, ** Gap ** 
,חכמים, ** Gap ** 
,ובשני, ** Gap ** 
,לא, ** Gap ** 
,יכנוס, ** Gap ** 
,ואם, ** Gap ** 
,מחמת, ** Gap ** 
,האונס, ** Gap ** 
,מותר, ** Gap ** 
,ומפרישין, ** Gap ** 
,את, ** Gap ** 
,החתן, ** Gap ** 
,מן, ** Gap ** 
,הכלה, ** Gap ** 
,לילי, ** Gap ** 
,שבת, ** Gap ** 
,תחלה, ** Gap ** 
,מפני, ** Gap ** 
,שהוא, ** Gap ** 
,עושה, ** Gap ** 
,חבורה, ** Gap ** 
,מאי, ** Gap ** 
,סכנה, ** Gap ** 
,אילימא, ** Gap ** 
,דאמרי, ** Gap ** 
,בתולה, ** Gap ** 
,הנשאת, ** Gap ** 
,ליום, ** Gap ** 
,הרביעי, ** Gap ** 
,תיהרג, ** Gap ** 
,נהגו, ** Gap ** 
,לגמרי, ** Gap ** 
,ניעקריה, ** Gap ** 
,אמר, ** Gap ** 
,רבה, ** Gap ** 
,דאמרי, ** Gap ** 
